SUERTE;ZONA;FINCA;AREA;EDAD ;Zona Agroecologica;VARIEDAD;USO DE LA SUERTE;FECHA DE SIEMBRA;FECHA DE ULTIMO CORTE;NUMERO DE CORTE;TONELADAS PPTO;TCH PPTO;TONELADAS Estimadas;RESPONSABLE ZONA;TECNICO AGRICOLA RESPONSABLE;FECHA DEL PROXIMO CORTE;TCH anterior;TCHM
2101-010;1;CAST;2.08;6.7;6H1;CC 09-066;CANA;9/07/2024;17/08/2025;2;305;147;305;Carlos Fernando Arias;Jose William Arbeláez;29/08/2026;143,69;12,074
2101-020;1;CAST;15.59;11.1;6H1;CC 05-430;CANA;26/02/2022;5/04/2025;4;1871;120;1949;Carlos Fernando Arias;Jose William Arbeláez;30/03/2026;152,12;12,891
2101-021;1;CAST;15;2.4;11H1;CC 05-430;CANA;24/12/2022;27/12/2025;4;1932;129;1932;Carlos Fernando Arias;Jose William Arbeláez;27/12/2026;174,47;14,301
2101-030;1;CAST;12.48;2.3;11H1;CC 05-430;CANA;16/01/2022;28/12/2025;5;1545;124;1545;Carlos Fernando Arias;Jose William Arbeláez;28/12/2026;134,07;11,173
2101-031;1;CAST;9.18;2.6;11H1;CC 09-066;CANA;31/12/2022;21/12/2025;4;1182;129;1182;Carlos Fernando Arias;Jose William Arbeláez;21/12/2026;151,04;12,909
2101-040;1;CAST;17.82;0.6;11H1;CC 11-0132;CANA;15/12/2023;18/02/2026;3;2474;139;1782;Carlos Fernando Arias;Jose William Arbeláez;5/03/2027;109,6;9,614
2101-050;1;CAST;15.46;9.1;11H1;CC 11-0132;CANA;23/05/2023;5/06/2025;3;1991;129;1991;Carlos Fernando Arias;Jose William Arbeláez;5/06/2026;155,74;12,979
2101-060;1;CAST;16.99;2.6;11H0;CC 05-430;CANA;6/12/2023;20/12/2025;3;2324;137;2324;Carlos Fernando Arias;Jose William Arbeláez;20/12/2026;118,96;10,255
2101-070;1;CAST;9.22;4.1;14H1;CC 05-430;CANA;17/10/2020;3/11/2025;6;1123;122;1123;Carlos Fernando Arias;Jose William Arbeláez;31/10/2026;134,68;10,689
2101-071;1;CAST;8.63;6.7;30H1;CC 11-0132;CANA;14/07/2022;17/08/2025;4;1137;132;1137;Carlos Fernando Arias;Jose William Arbeláez;26/08/2026;136,88;11,6
2101-080;1;CAST;13.61;2.6;11H1;CC 05-430;CANA;25/03/2023;21/12/2025;4;1862;137;1862;Carlos Fernando Arias;Jose William Arbeláez;21/12/2026;139,66;11,542
2101-090;1;CAST;10.91;6.0;11H0;CC 11-0132;CANA;10/08/2022;7/09/2025;4;1493;137;1493;Carlos Fernando Arias;Jose William Arbeláez;22/09/2026;124,77;10,849
2101-100;1;CAST;7.35;6.0;14H2;CC 09-066;CANA;12/08/2022;7/09/2025;4;1006;137;1006;Carlos Fernando Arias;Jose William Arbeláez;22/09/2026;127,92;10,66
2101-102;1;CAST;5.43;6.7;14H2;CC 11-0132;CANA;15/07/2022;17/08/2025;4;743;137;743;Carlos Fernando Arias;Jose William Arbeláez;26/08/2026;122,67;9,584
2102-010;1;CAST;1.41;12.5;11H1;CC 11-600;CANA;27/03/2018;23/02/2025;8;167;119;155;Carlos Fernando Arias;Jose William Arbeláez;10/03/2026;114,72;9,889
2102-011;1;CAST;14.84;12.5;11H1;CC 05-430;CANA;24/01/2020;21/02/2025;6;1763;119;1781;Carlos Fernando Arias;Jose William Arbeláez;8/03/2026;133,46;10,509
2102-012;1;CAST;11.26;7.2;11H1;CC 09-066;CANA;25/04/2021;2/08/2025;5;1371;122;1371;Carlos Fernando Arias;Jose William Arbeláez;17/08/2026;124,47;10,46
2102-013;1;CAST;3;12.5;11H1;CC 05-430;CANA;5/05/2023;21/02/2025;3;386;129;360;Carlos Fernando Arias;Jose William Arbeláez;8/03/2026;140,05;11,204
2102-016;1;CAST;1.5;13.1;11H1;CC 05-430;CANA;3/12/2023;3/02/2025;2;201;134;195;Carlos Fernando Arias;Jose William Arbeláez;5/03/2026;132,91;10,984
2102-020;1;CAST;25.48;3.9;11H1;CC 05-430;CANA;5/10/2019;9/11/2025;7;2968;116;2968;Carlos Fernando Arias;Jose William Arbeláez;9/11/2026;141,24;11,869
2102-030;1;CAST;10.77;12.5;11H0;CC 09-066;CANA;12/02/2023;23/02/2025;3;1441;134;1400;Carlos Fernando Arias;Jose William Arbeláez;10/03/2026;147,79;12,214
2102-031;1;CAST;8.41;2.4;6H1;CC 05-430;CANA;1/09/2020;27/12/2025;6;1022;121;1022;Carlos Fernando Arias;Jose William Arbeláez;27/12/2026;123,26;10,187
2104-010;1;CAST;19.15;4.5;30H0;CC 09-066;CANA;10/09/2021;22/10/2025;5;2524;132;2524;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;22/10/2026;130,34;10,345
2104-011;1;CAST;9.97;0.5;11H1;CC 09-066;CANA;1/02/2021;21/02/2026;6;1234;124;1246;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;21/02/2027;131,28;10,673
2104-020;1;CAST;23.76;4.6;11H1;CC 05-430;CANA;26/09/2021;20/10/2025;5;3132;132;3132;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;20/10/2026;130,56;10,614
2104-040;1;CAST;8.41;2.9;6H1;CC 05-430;CANA;9/12/2021;12/12/2025;5;1108;132;1108;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;12/12/2026;133,36;11,399
2104-050;1;CAST;5.49;4.0;6H1;VARIAS;CANA;8/08/2020;8/11/2025;6;669;122;669;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;8/11/2026;89,46;7,582
2104-060;1;CAST;17.2;4.6;11H1;CC 05-430;CANA;17/09/2020;20/10/2025;6;2267;132;2267;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;20/10/2026;117,19;10,016
2104-065;1;CAST;19.03;6.6;14H1;CC 11-0132;CANA;23/07/2022;21/08/2025;4;2508;132;2508;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;27/08/2026;136,29;10,817
2104-090;1;CAST;8.87;3.1;21H0;CC 05-430;CANA;26/02/2018;6/12/2025;9;767;87;767;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;24/11/2026;116,84;9,819
2104-091;1;CAST;3.9;2.9;21H0;CC 11-0132;CANA;17/12/2023;11/12/2025;3;553;142;553;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;11/12/2026;118,12;9,086
2104-110;1;CAST;5.77;8.1;6H1;CC 05-430;CANA;6/07/2025;18/02/2025;1;847;147;847;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;30/07/2026;138,71;11,009
2104-120;1;CAST;14.06;1.6;6H1;CC 05-430;CANA;13/05/2023;19/01/2026;4;1881;134;1881;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;3/02/2027;132,7;10,207
2104-130;1;CAST;9.23;3.1;6H1;CC 05-430;CANA;1/12/2019;5/12/2025;7;1124;122;1124;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;29/11/2026;124,65;10,934
2104-131;1;CAST;7.56;1.6;6H1;CC 05-430;CANA;17/12/2024;20/01/2026;2;1049;139;1049;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;19/02/2027;128,31;10,874
2104-140;1;CAST;17.62;0.0;30H1;RENOVACION;CANA;18/01/2021;18/02/2026;1;1917;109;1762;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;18/02/2027;131,05;10,742
2104-150;1;CAST;5.23;0.7;11H1;CC 11-0132;CANA;29/03/2023;17/02/2026;4;674;129;575;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;17/02/2027;164,46;11,112
2104-180;1;CAST;5.12;3.0;15H1;CC 05-430;CANA;18/12/2021;8/12/2025;5;700;137;700;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;26/11/2026;98,89;7,218
2104-190;1;CAST;2.32;9.6;15H1;CC 97-7170;CANA;9/06/2016;22/05/2025;10;276;119;276;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;22/05/2026;130,01;11,018
2104-191;1;CAST;6.69;9.5;15H1;CC 11-0132;CANA;6/05/2023;24/05/2025;3;828;124;828;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;24/05/2026;133,93;11,447
2104-192;1;CAST;2.89;1.6;15H1;CC 09-066;CANA;8/12/2024;20/01/2026;2;424;147;424;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;19/02/2027;96,4;8,101
2104-200;1;CAST;6.99;3.1;11H1;CC 05-430;CANA;11/01/2022;5/12/2025;5;900;129;900;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;29/11/2026;151,6;12,957
2104-201;1;CAST;8.09;6.6;11H1;CC 09-066;CANA;7/07/2020;21/08/2025;6;1066;132;1066;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;27/08/2026;136,9;11,701
2104-203;1;CAST;5.09;2.8;11H1;CC 05-430;CANA;15/12/2020;15/12/2025;6;645;127;645;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;15/12/2026;146,17;11,981
2104-204;1;CAST;8.82;3.0;11H1;CC 05-430;CANA;21/11/2019;8/12/2025;7;1116;126;1116;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;8/12/2026;133,86;11,441
2104-250;1;CAST;7.3;4.3;11H1;CC 05-430;CANA;22/08/2019;29/10/2025;7;1108;152;1108;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;29/10/2026;190,42;15,608
2104-251;1;CAST;3.47;4.3;11H1;CC 05-430;CANA;19/01/2022;29/10/2025;5;423;122;423;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;29/10/2026;150,83;11,971
2104-252;1;CAST;3;3.6;11H1;CC 05-430;CANA;22/09/2021;18/11/2025;6;344;121;344;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;18/11/2026;137,89;11,587
2104-253;1;CAST;1.02;3.6;11H1;CC 05-430;CANA;22/09/2021;20/11/2025;6;124;121;124;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;20/11/2026;154,89;13,016
2104-260;1;CAST;14.35;11.5;6H1;VARIAS;CANA;16/02/2023;23/03/2025;3;1772;123;1866;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;23/03/2026;127,13;10,594
2104-270;1;CAST;15.88;9.0;11H0;CC 11-0132;CANA;16/05/2020;9/06/2025;6;1966;124;1966;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;9/06/2026;117,46;10,126
2104-271;1;CAST;12.53;8.3;11H0;CC 09-066;CANA;16/05/2020;28/06/2025;6;1651;132;1651;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;28/06/2026;125,87;10,402
2104-272;1;CAST;9.49;8.9;11H0;CC 11-0132;CANA;16/05/2020;10/06/2025;6;1175;124;1175;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;10/06/2026;153,13;12,868
2104-280;1;CAST;16.69;8.9;11H0;CC 11-0132;CANA;10/07/2022;11/06/2025;4;2150;129;2150;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;11/06/2026;124,88;10,407
2104-281;1;CAST;20.59;6.6;11H0;VARIAS;CANA;11/07/2020;21/08/2025;6;2714;132;2714;Carlos Fernando Arias;Edwith Zabdiel Arango Rojas;24/08/2026;115,68;9,721
